Date,Open,High,Low,Close,Volume
1988-11-30,0.288582,0.29811,0.266288,0.281894,3500884564
1988-12-31,0.283112,0.314904,0.281325,0.301735,3508273892
1989-01-31,0.301735,0.3299,0.271691,0.283112,8747650338
1989-02-28,0.283112,0.301735,0.264245,0.271691,5818723162
1989-03-31,0.271691,0.273517,0.251292,0.266945,4596225001
1989-04-30,0.266288,0.311938,0.254019,0.292346,4723342546
1989-05-31,0.288582,0.367379,0.288582,0.358019,6255893448
1989-06-30,0.358019,0.376632,0.296351,0.309148,4693400381
1989-07-31,0.313061,0.314904,0.283112,0.29811,4392537517
1989-08-31,0.29811,0.343121,0.294191,0.333536,3992031419
1989-09-30,0.333536,0.350595,0.322448,0.333536,2406491228
1989-10-31,0.333536,0.377898,0.318477,0.348532,4912239446
1989-11-30,0.346657,0.354192,0.318477,0.33164,3006777284
1989-12-31,0.333536,0.343121,0.243562,0.264245,7074951432
1990-01-31,0.264245,0.290556,0.240782,0.254954,4462638356
1990-02-28,0.258488,0.264245,0.241765,0.254954,2957895985
1990-03-31,0.251292,0.325441,0.249228,0.301735,5425992713
1990-04-30,0.300015,0.33164,0.285783,0.295439,4337574410
1990-05-31,0.29811,0.320561,0.290556,0.309148,4901022486
1990-06-30,0.310386,0.336433,0.281325,0.335549,4706231101
1990-07-31,0.333536,0.358019,0.300015,0.314904,4958399777
1990-08-31,0.314904,0.328124,0.251292,0.277375,3725324840
1990-09-30,0.273517,0.281325,0.204315,0.217437,2628104166
1990-10-31,0.221364,0.239868,0.181697,0.230656,6020983318
1990-11-30,0.228513,0.288582,0.223074,0.275599,3875689864
1990-12-31,0.279184,0.339243,0.277375,0.322448,4875375064
1991-01-31,0.320561,0.419856,0.314904,0.41626,8380247572
1991-02-28,0.41626,0.466636,0.410585,0.429176,6604090690
1991-03-31,0.427361,0.526625,0.427361,0.509732,6204945180
1991-04-30,0.509732,0.549213,0.408434,0.41244,8625254075
1991-05-31,0.359916,0.403051,0.3299,0.352384,9494313211
1991-06-30,0.352384,0.371258,0.301735,0.31131,4872480514
1991-07-31,0.316733,0.361683,0.313061,0.346657,4505504510
1991-08-31,0.344898,0.41626,0.343121,0.397387,4968922794
1991-09-30,0.395589,0.401322,0.348532,0.371258,2849743714
1991-10-31,0.369276,0.421662,0.348532,0.386333,4279837175
1991-11-30,0.384097,0.41413,0.356302,0.380658,4401353344
1991-12-31,0.380658,0.434883,0.363531,0.422912,3104699809
1992-01-31,0.418138,0.517294,0.41626,0.485589,5600671344
1992-02-29,0.485589,0.524857,0.463069,0.505999,3018754404
1992-03-31,0.507868,0.513366,0.433076,0.4367,3555420996
1992-04-30,0.429176,0.45917,0.397387,0.450833,4681623697
1992-05-31,0.449891,0.474138,0.4367,0.448064,3219680767
1992-06-30,0.429176,0.446287,0.320561,0.359916,5777537237
1992-07-31,0.359916,0.371258,0.326266,0.350595,4326064386
1992-08-31,0.350595,0.354192,0.31131,0.344898,3270656121
1992-09-30,0.346657,0.374874,0.328124,0.338367,3638779272
1992-10-31,0.335549,0.404888,0.31131,0.393456,4205334938
1992-11-30,0.393456,0.446287,0.386333,0.431277,3723191120
1992-12-31,0.429176,0.45917,0.408434,0.448064,3970611823
1993-01-31,0.446287,0.489105,0.429176,0.446287,6599902847
1993-02-28,0.444153,0.461292,0.386333,0.397387,5538892821
1993-03-31,0.397387,0.433076,0.376632,0.386333,4360261189
1993-04-30,0.384097,0.393456,0.350595,0.384097,4661404431
1993-05-31,0.384097,0.443241,0.382377,0.424384,3811310711
1993-06-30,0.42355,0.4367,0.288582,0.296351,9138913861
1993-07-31,0.292346,0.29811,0.19139,0.208136,8506005057
1993-08-31,0.211672,0.230656,0.194042,0.198581,4386028892
1993-09-30,0.198581,0.202431,0.172445,0.175166,4367996947
1993-10-31,0.170667,0.241765,0.164992,0.230656,7032245104
1993-11-30,0.230656,0.262429,0.223074,0.236342,4110880338
1993-12-31,0.239868,0.243562,0.198581,0.219224,4712086351
1994-01-31,0.221364,0.264245,0.21566,0.245564,8731218944
1994-02-28,0.247461,0.286667,0.241765,0.273517,5102069408
1994-03-31,0.275599,0.288582,0.236342,0.249228,6261375257
1994-04-30,0.241765,0.256683,0.202431,0.224919,4813503027
1994-05-31,0.224919,0.253117,0.213487,0.219224,4003168106
1994-06-30,0.213487,0.214746,0.18473,0.198581,5563313351
1994-07-31,0.197616,0.254954,0.190104,0.252546,5773229456
1994-08-31,0.25191,0.280401,0.240782,0.271089,5447932475
1994-09-30,0.265336,0.279184,0.250434,0.252546,3849535445
1994-10-31,0.25191,0.328124,0.243562,0.323685,9185461180
1994-11-30,0.321485,0.326005,0.272975,0.279184,4821612428
1994-12-31,0.277375,0.299032,0.260611,0.292346,4510625996
1995-01-31,0.29142,0.360505,0.284035,0.302881,9719687259
1995-02-28,0.305613,0.333536,0.284939,0.296351,6310629783
1995-03-31,0.29811,0.305613,0.254019,0.264245,8332419842
1995-04-30,0.266288,0.296872,0.25191,0.286667,6757136512
1995-05-31,0.286667,0.332926,0.281325,0.311634,7603068881
1995-06-30,0.314018,0.375758,0.31131,0.348209,6575708924
1995-07-31,0.348532,0.374019,0.322448,0.337377,6787238663
1995-08-31,0.336433,0.346657,0.314018,0.322448,6302974214
1995-09-30,0.322448,0.341303,0.260611,0.279184,8706744823
1995-10-31,0.283112,0.296617,0.25191,0.272339,7738629354
